center_id,month,metric,value,is_sample,source_doc_id
BC-01,2026-04,이용자수,2952,1,
BC-01,2026-05,이용자수,2852,1,
BC-01,2026-06,이용자수,2806,1,
BC-01,2026-07,이용자수,3091,1,
BC-01,2026-08,이용자수,2928,1,
BC-02,2026-04,이용자수,3715,1,
BC-02,2026-05,이용자수,3967,1,
BC-02,2026-06,이용자수,3855,1,
BC-02,2026-07,이용자수,4092,1,
BC-02,2026-08,이용자수,4017,1,
BC-03,2026-04,이용자수,1880,1,
BC-03,2026-05,이용자수,1824,1,
BC-03,2026-06,이용자수,1958,1,
BC-03,2026-07,이용자수,2072,1,
BC-03,2026-08,이용자수,1269,1,
BC-04,2026-04,이용자수,4061,1,
BC-04,2026-05,이용자수,3995,1,
BC-04,2026-06,이용자수,4000,1,
BC-04,2026-07,이용자수,4316,1,
BC-04,2026-08,이용자수,4007,1,
BC-05,2026-04,이용자수,2001,1,
BC-05,2026-05,이용자수,2011,1,
BC-05,2026-06,이용자수,2045,1,
BC-05,2026-07,이용자수,2126,1,
BC-05,2026-08,이용자수,2278,1,
