center_id,name,region,province,support_type,mother_hospital
BC-01,JASMC 부카스센터 (Jose B. Lingad Memorial General Hospital),Luzon,Pampanga,모델링(집중지원),Jose B. Lingad Memorial General Hospital
BC-02,DJNRMH 부카스센터 (Dr. Jose N. Rodriguez Memorial Hospital),Luzon,Bulacan,모델링(집중지원),Dr. Jose N. Rodriguez Memorial Hospital
BC-03,QMMC 부카스센터 (Quirino Memorial Medical Center),Luzon,Metro Manila (Quezon City),모델링(집중지원),Quirino Memorial Medical Center
BC-04,STRH 부카스센터 (Southern Tagalog Regional Hospital),Luzon,Cavite,모델링(집중지원),Southern Tagalog Regional Hospital
BC-05,BatMC-BatStateU 부카스센터,Luzon,Batangas,모델링(주요 진단기자재 제외),Batangas Medical Center / Batangas State University
BC-06,[입력필요] 루존 부카스센터 06,Luzon,,미정 — 기본지원 15개소는 착수 후 선정,
BC-07,[입력필요] 루존 부카스센터 07,Luzon,,미정 — 기본지원 15개소는 착수 후 선정,
BC-08,[입력필요] 루존 부카스센터 08,Luzon,,미정 — 기본지원 15개소는 착수 후 선정,
BC-09,[입력필요] 루존 부카스센터 09,Luzon,,미정 — 기본지원 15개소는 착수 후 선정,
BC-10,[입력필요] 루존 부카스센터 10,Luzon,,미정 — 기본지원 15개소는 착수 후 선정,
BC-11,[입력필요] 루존 부카스센터 11,Luzon,,미정 — 기본지원 15개소는 착수 후 선정,
BC-12,[입력필요] 루존 부카스센터 12,Luzon,,미정 — 기본지원 15개소는 착수 후 선정,
BC-13,[입력필요] 루존 부카스센터 13,Luzon,,미정 — 기본지원 15개소는 착수 후 선정,
BC-14,[입력필요] 루존 부카스센터 14,Luzon,,미정 — 기본지원 15개소는 착수 후 선정,
BC-15,[입력필요] 루존 부카스센터 15,Luzon,,미정 — 기본지원 15개소는 착수 후 선정,
BC-16,[입력필요] 루존 부카스센터 16,Luzon,,미정 — 기본지원 15개소는 착수 후 선정,
BC-17,[입력필요] 루존 부카스센터 17,Luzon,,미정 — 기본지원 15개소는 착수 후 선정,
BC-18,[입력필요] 루존 부카스센터 18,Luzon,,미정 — 기본지원 15개소는 착수 후 선정,
BC-19,[입력필요] 루존 부카스센터 19,Luzon,,미정 — 기본지원 15개소는 착수 후 선정,
BC-20,[입력필요] 루존 부카스센터 20,Luzon,,미정 — 기본지원 15개소는 착수 후 선정,
BC-21,[입력필요] 루존 부카스센터 21,Luzon,,미정 — 기본지원 15개소는 착수 후 선정,
BC-22,[입력필요] 루존 부카스센터 22,Luzon,,미정 — 기본지원 15개소는 착수 후 선정,
BC-23,[입력필요] 루존 부카스센터 23,Luzon,,미정 — 기본지원 15개소는 착수 후 선정,
BC-24,[입력필요] 루존 부카스센터 24,Luzon,,미정 — 기본지원 15개소는 착수 후 선정,
BC-25,[입력필요] 루존 부카스센터 25,Luzon,,미정 — 기본지원 15개소는 착수 후 선정,
BC-26,[입력필요] 루존 부카스센터 26,Luzon,,미정 — 기본지원 15개소는 착수 후 선정,
BC-27,[입력필요] 루존 부카스센터 27,Luzon,,미정 — 기본지원 15개소는 착수 후 선정,
