indicator_id,year,target,note
1-1,2026,,TBD — 기초선 조사 시 수립
1-1,2029,,TBD — 기초선 조사 시 수립
1-1,2032,,TBD — 기초선 조사 시 수립
1-2,2026,,TBD — 기초선 조사 시 수립
1-2,2029,,TBD — 기초선 조사 시 수립
1-2,2032,,TBD — 기초선 조사 시 수립
2-1,2026,0,
2-1,2029,,TBD — 기초선 조사 시 수립
2-1,2032,,TBD — 기초선 조사 시 수립
2-2,2026,0,
2-2,2029,,TBD — 기초선 조사 시 수립
2-2,2032,,TBD — 기초선 조사 시 수립
3-1,2026,0,
3-1,2029,,TBD — 기초선 조사 시 수립
3-1,2032,,TBD — 기초선 조사 시 수립
3-2,2026,0,
3-2,2029,,TBD — 기초선 조사 시 수립
3-2,2032,,TBD — 기초선 조사 시 수립
1.1-1,2026,0,
1.1-1,2027,25,
1.1-1,2028,0,
1.1-1,2029,0,
1.1-1,2030,0,
1.1-1,2031,0,
1.1-1,2032,0,
1.2-1,2026,0,
1.2-1,2027,5,
1.2-1,2028,5,
1.2-1,2029,0,
1.2-1,2030,0,
1.2-1,2031,0,
1.2-1,2032,0,
2.1-1,2026,0,
2.1-1,2027,0,
2.1-1,2028,1,
2.1-1,2029,0,
2.1-1,2030,0,
2.1-1,2031,0,
2.1-1,2032,0,
2.1-2,2026,0,
2.1-2,2027,0,
2.1-2,2028,0,
2.1-2,2029,125,
2.1-2,2030,125,
2.1-2,2031,0,
2.1-2,2032,0,
2.1-3,2026,0,
2.1-3,2027,0,
2.1-3,2028,0,
2.1-3,2029,40,
2.1-3,2030,40,
2.1-3,2031,0,
2.1-3,2032,0,
2.2-1,2026,0,
2.2-1,2027,0,
2.2-1,2028,1,
2.2-1,2029,0,
2.2-1,2030,0,
2.2-1,2031,0,
2.2-1,2032,0,
2.2-2,2026,0,
2.2-2,2027,0,
2.2-2,2028,40,
2.2-2,2029,640,
2.2-2,2030,670,
2.2-2,2031,0,
2.2-2,2032,0,
3.1-1,2026,0,
3.1-1,2027,1,
3.1-1,2028,0,
3.1-1,2029,0,
3.1-1,2030,0,
3.1-1,2031,0,
3.1-1,2032,0,
3.2-1,2026,0,
3.2-1,2027,0,
3.2-1,2028,0,
3.2-1,2029,1,
3.2-1,2030,1,
3.2-1,2031,1,
3.2-1,2032,1,
3.2-2,2026,0,
3.2-2,2027,0,
3.2-2,2028,0,
3.2-2,2029,,TBD — 기초선 조사 시 수립
3.2-2,2030,,TBD — 기초선 조사 시 수립
3.2-2,2031,,TBD — 기초선 조사 시 수립
3.2-2,2032,,TBD — 기초선 조사 시 수립
3.2-3,2026,0,
3.2-3,2027,0,
3.2-3,2028,0,
3.2-3,2029,1,
3.2-3,2030,0,
3.2-3,2031,1,
3.2-3,2032,0,
