indicator_id,level,output_id,name,definition,formula,unit,baseline,baseline_year,target,target_year,mov,data_source,frequency,pdm_version,target_basis,collector,origin,remark
1-1,Outcome,,국가 인증 기준에 부합하는 부카스센터 비율(%),모델링 대상 부카스센터 5개소 중 필리핀 보건부(DOH)가 제시한 긴급 진료 및 외래서비스 제공 시설(ASC) 인증 기준에 부합하는 센터의 비율,인증기준 부합 센터 수 / 5 × 100 (정수 N 병기),%,,2026,,2032,"기초선/중간선/종료선 조사, 보건부 DB","기초선/중간선/종료선 조사, 보건부 DB","1,4,7차년도",2026-01-15 작성본,기초선 조사 시 수립 예정임.,"부카스센터, 사업수행기관(PMC)",KOICA 성과관리양식 v3.2 (2. 성과점검표 ver.1),
1-2,Outcome,,부카스센터 서비스 이용 자수,"모델링 대상 부카스센터 5개소의 긴급 진료 및 외래서비스 이용자수 
-전년도(또는 데이터 수집시기) 대비 변화 관찰",,명,,2026,,2032,"기초선/중간선/종료선 조사, 보건부 DB","기초선/중간선/종료선 조사, 보건부 DB","1,4,7차년도",2026-01-15 작성본,기초선 조사 시 수립 예정임.,"부카스센터, 사업수행기관(PMC)",KOICA 성과관리양식 v3.2 (2. 성과점검표 ver.1),
2-1,Outcome,,운영관리 역량강화 교육과정 현업 적용도 (%),"부카스센터 관리자 및 의료인력이 운영관리 역량강화 교육을 통해 습득한 지식·기술을 실제 업무(재정, 정보, 인사)에 적용한 비율",,%,0,2026,,2032,"기초선/중간선/종료선 조사, 보건부 DB","기초선/중간선/종료선 조사, 보건부 DB","1,4,7차년도",2026-01-15 작성본,기초선 조사 시 수립 예정임.,"부카스센터, 사업수행기관(PMC)",KOICA 성과관리양식 v3.2 (2. 성과점검표 ver.1),
2-2,Outcome,,표준화된 전원 절차 를 통해 전원된 환자 수(건),"부카스센터 통합 HCPN 가이드라인에 따라 문서화, 피드백, 정보 공유 등이 이행되는 등의 표준화된 절차에 따라 전원된 환자의 수",,건,0,2026,,2032,"기초선/중간선/종료선 조사, 보건부 DB","기초선/중간선/종료선 조사, 보건부 DB","1,4,7차년도",2026-01-15 작성본,기초선 조사 시 수립 예정임.,"부카스센터, 사업수행기관(PMC)",KOICA 성과관리양식 v3.2 (2. 성과점검표 ver.1),
3-1,Outcome,,정책 평가 결과 반영 건 수,"사업을 통해 실시한 부카스센터 정책 평가 결과를 신규 정책, 지침, 가이드라인 수립 및 실제 의사결정에 반영한 건 수",,건,0,2026,,2032,"기초선/중간선/종료선 조사, 보건부 DB","기초선/중간선/종료선 조사, 보건부 DB","1,4,7차년도",2026-01-15 작성본,기초선 조사 시 수립 예정임.,"부카스센터, 사업수행기관(PMC)",KOICA 성과관리양식 v3.2 (2. 성과점검표 ver.1),
3-2,Outcome,,부카스 보건 정보 시스템 자료입력 완료 비율,"전국 부카스센터에서 환자 진료, 인력 등 운영 관련 데이터를 부카스 데이터 통계 관리 시스템에 정기적으로 입력·활용하는 비율",,%,0,2026,,2032,"기초선/중간선/종료선 조사, 보건부 DB","기초선/중간선/종료선 조사, 보건부 DB","1,4,7차년도",2026-01-15 작성본,기초선 조사 시 수립 예정임.,"부카스센터, 사업수행기관(PMC)",KOICA 성과관리양식 v3.2 (2. 성과점검표 ver.1),
1.1-1,Output,1.1,기자재가 지원된 부카스센터 수(개소),부카스센터의 긴급 진료 및 외래서비스 제공을 위해 지원된 기자재(의료 및 IT)의 수,,개소,0,2026,25,2032,"기자재 납품/검수 결과보고서, 모니터링 보고서","기자재 납품/검수 결과보고서, 모니터링 보고서",2차년도 12월,2026-01-15 작성본,모델링 부카스센터 5개소 및 루존 지역 내 나머지 20개소를 지원 대상으로 함.,"현지 기자재 공급 수행기관, 사업수행기관(PMC)",KOICA 성과관리양식 v3.2 (2. 성과점검표 ver.1),
1.2-1,Output,1.2,의료보건 및 건강증진 관리교육/기술지원/멘토링 세션을 완료한 보건의료인력 수(명),"모델링 대상 부카스센터 5개소를 대상으로 실시된 현장 기술지원 및 멘토링 세션을 정기적으로 실시함, 여기서 '완료'는 계획된 세션 수(연간 또는 프로젝트 주기별)를 모두 수행하고 보고서를 제출한 경우를 의미",,명,0,2026,5,2032,"멘토링 활동보고서, 모니터링 보고서","멘토링 활동보고서, 모니터링 보고서",매년 12월,2026-01-15 작성본,모델링 부카스센터 5개소를 대상으로 함.,"현지 기자재 공급 수행기관, 사업수행기관(PMC)",KOICA 성과관리양식 v3.2 (2. 성과점검표 ver.1),
2.1-1,Output,2.1,운영관리 역량강화 교육 개발(건),"부카스센터 운영관리 역량강화를 위해 신규로 개발된 교육과정(Training Curriculum)의 수, 교육과정에는 재정, 정보, 인사 운영관리가 포함, '개발 완료'는 수원국의 승인 문서까지 득한 경우를 의미",,건,0,2026,1,2032,운영관리 교육과정,운영관리 교육과정,매년 12월,2026-01-15 작성본,공통으로 적용 가능한 표준 교육과정 1종을 개발함.,"현지 교육 수행기관, 사업수행기관(PMC)",KOICA 성과관리양식 v3.2 (2. 성과점검표 ver.1),
2.1-2,Output,2.1,운영관리 역량강화 교육 참여자 수(명),부카스센터의 운영 및 관리 업무를 담당하는 인력을 대상으로 실시한 운영관리 역량강화 교육에 실제 참여(교육 이수 기준 충족)한 인원의 수,,명,0,2026,250,2032,"교육 결과보고서, 수료자 명단","교육 결과보고서, 수료자 명단",매년 12월,2026-01-15 작성본,"국가단위 교육 총 2회(회당 참석자 45명), 지역단위 교육 총 8회(회당 참석자 20명)를 목표로함.","현지 교육 수행기관, 사업수행기관(PMC)",KOICA 성과관리양식 v3.2 (2. 성과점검표 ver.1),
