stakeholder_id,org,dept,person_name,position,contact,category,valid_from,valid_to
SH-01,KOICA,본부 동남아시아2팀,,,,KOICA,2026-09-01,
SH-02,KOICA,필리핀 사무소,,,,KOICA,2026-09-01,
SH-03,DOH,UHC-HSC TO,,,,DOH,2026-09-01,
SH-04,DOH,KMITS,,,,DOH,2026-09-01,
SH-05,DOH,HFDB,,,,DOH,2026-09-01,
SH-06,CHD,지역 보건 개발국(관할 CHD),,,,CHD,2026-09-01,
SH-07,모병원,모델링 5개소 모병원(병원장·센터장),,,,모병원,2026-09-01,
SH-08,지방정부,LGU · PHO · RHU,,,,지방정부,2026-09-01,
SH-09,기자재 공급 수행기관,[선정 전] 현지 기관,,,,수행기관,2026-09-01,
SH-10,현지 교육 수행기관,[선정 전] 현지 기관,,,,수행기관,2026-09-01,
SH-11,현지 평가 수행기관,[선정 전] KOICA·DOH 협의 선정,,,,수행기관,2026-09-01,
SH-12,WHO,,,,,국제기구·공여기관,2026-09-01,
SH-13,ADB,,,,,국제기구·공여기관,2026-09-01,
SH-14,UNFPA,,,,,국제기구·공여기관,2026-09-01,
SH-15,World Bank,,,,,국제기구·공여기관,2026-09-01,
