점검유형,대상,내용,기한,담당,상태
기한,MS-006,[마일스톤] [예시] 현지사무소 개소,2026-09-10,PL,진행중 / 기한경과
기한,MS-003,[마일스톤] [예시] 3분기 사업실무단 회의,2026-09-28,PL,예정 / D-8
기한,M06,[관리문서] [예시] 사업실무단 회의 결과보고,2026-09-30,PL,예정 / D-10
기한,MS-002,[마일스톤] [예시] 전문가 워크숍(AI 사업비서 요구사항 정의),2026-10-02,성과관리 전문가,예정 / D-12
기한,b-04,[보조산출물] [예시] 기자재 수요조사 보고서,2026-10-05,,미착수 / D-15
기한,M04,[관리문서] [예시] 월간 진도보고,2026-10-05,PL,예정 / D-15
기한,b-03,[보조산출물] [예시] 센터 운영 매뉴얼(안),2026-10-15,,작성중 / D-25
기한,MS-001,[마일스톤] [예시] 착수보고회,2026-10-20,PM,예정 / D-30
지표 미확정,IND-OC-1,[예시] 부카스센터 월평균 이용자 수,,,기초선 · 목표치 미확정 / 자료원: 부카스 데이터 통계관리시스템 집계
지표 미확정,IND-OC-2,[예시] 이용자 만족도,,,기초선 미확정 / 자료원: 현지 평가기관 조사
지표 미확정,IND-O3-1,[예시] 교육 수료 인원,,,목표치 미확정 / 자료원: 현지 교육기관
지표 미확정,IND-O3-2,[예시] 교육 만족도,,,기초선 미확정 / 자료원: PMC
이상치,BC-03,[입력필요] 부카스센터 03 2026-08 이용자수,,,766→469 (-38.8%)
후속조치,action-1,[예시] 센터별 월별 실적 보고양식(안) KMITS에 송부,2026-09-18,PL,미이행 / 기한경과
후속조치,action-2,[예시] 집계자료 연계 범위 검토 메모 작성,2026-10-10,성과관리 전문가,진행중
