center_id,name,region,province,support_type,mother_hospital
BC-01,[입력필요] 부카스센터 01,Luzon,,모델링,
BC-02,[입력필요] 부카스센터 02,Luzon,,모델링,
BC-03,[입력필요] 부카스센터 03,Luzon,,모델링,
BC-04,[입력필요] 부카스센터 04,Luzon,,모델링,
BC-05,[입력필요] 부카스센터 05,Luzon,,모델링,
BC-06,[입력필요] 부카스센터 06,Luzon,,기본지원,
BC-07,[입력필요] 부카스센터 07,Luzon,,기본지원,
BC-08,[입력필요] 부카스센터 08,Luzon,,기본지원,
BC-09,[입력필요] 부카스센터 09,Luzon,,기본지원,
BC-10,[입력필요] 부카스센터 10,Luzon,,기본지원,
BC-11,[입력필요] 부카스센터 11,Luzon,,기본지원,
BC-12,[입력필요] 부카스센터 12,Luzon,,기본지원,
BC-13,[입력필요] 부카스센터 13,Luzon,,기본지원,
BC-14,[입력필요] 부카스센터 14,Luzon,,기본지원,
BC-15,[입력필요] 부카스센터 15,Luzon,,기본지원,
BC-16,[입력필요] 부카스센터 16,Luzon,,기본지원,
BC-17,[입력필요] 부카스센터 17,Luzon,,기본지원,
BC-18,[입력필요] 부카스센터 18,Luzon,,기본지원,
BC-19,[입력필요] 부카스센터 19,Luzon,,기본지원,
BC-20,[입력필요] 부카스센터 20,Luzon,,기본지원,
BC-21,[입력필요] 부카스센터 21,Luzon,,확인필요,
BC-22,[입력필요] 부카스센터 22,Luzon,,확인필요,
BC-23,[입력필요] 부카스센터 23,Luzon,,확인필요,
BC-24,[입력필요] 부카스센터 24,Luzon,,확인필요,
BC-25,[입력필요] 부카스센터 25,Luzon,,확인필요,
BC-26,[입력필요] 부카스센터 26,Luzon,,확인필요,
BC-27,[입력필요] 부카스센터 27,Luzon,,확인필요,
