id,center_id,month,metric,value,is_sample,source_doc_id
1,BC-01,2026-04,이용자수,972.0,1,
2,BC-01,2026-05,이용자수,939.0,1,
3,BC-01,2026-06,이용자수,924.0,1,
4,BC-01,2026-07,이용자수,1018.0,1,
5,BC-01,2026-08,이용자수,964.0,1,
6,BC-02,2026-04,이용자수,1143.0,1,
7,BC-02,2026-05,이용자수,1220.0,1,
8,BC-02,2026-06,이용자수,1186.0,1,
9,BC-02,2026-07,이용자수,1259.0,1,
10,BC-02,2026-08,이용자수,1236.0,1,
11,BC-03,2026-04,이용자수,695.0,1,
12,BC-03,2026-05,이용자수,674.0,1,
13,BC-03,2026-06,이용자수,724.0,1,
14,BC-03,2026-07,이용자수,766.0,1,
15,BC-03,2026-08,이용자수,469.0,1,
16,BC-04,2026-04,이용자수,1249.0,1,
17,BC-04,2026-05,이용자수,1229.0,1,
18,BC-04,2026-06,이용자수,1230.0,1,
19,BC-04,2026-07,이용자수,1328.0,1,
20,BC-04,2026-08,이용자수,1233.0,1,
21,BC-05,2026-04,이용자수,1424.0,1,
22,BC-05,2026-05,이용자수,1496.0,1,
23,BC-05,2026-06,이용자수,1544.0,1,
24,BC-05,2026-07,이용자수,1578.0,1,
25,BC-05,2026-08,이용자수,1606.0,1,
26,BC-06,2026-04,이용자수,1256.0,1,
27,BC-06,2026-05,이용자수,1334.0,1,
28,BC-06,2026-06,이용자수,1368.0,1,
29,BC-06,2026-07,이용자수,1358.0,1,
30,BC-06,2026-08,이용자수,1408.0,1,
31,BC-07,2026-04,이용자수,668.0,1,
32,BC-07,2026-05,이용자수,685.0,1,
33,BC-07,2026-06,이용자수,690.0,1,
34,BC-07,2026-07,이용자수,706.0,1,
35,BC-07,2026-08,이용자수,737.0,1,
36,BC-08,2026-04,이용자수,1085.0,1,
37,BC-08,2026-05,이용자수,1092.0,1,
38,BC-08,2026-06,이용자수,1096.0,1,
39,BC-08,2026-07,이용자수,1174.0,1,
40,BC-08,2026-08,이용자수,1185.0,1,
