id,indicator_id,year,target,note
215,1-1,2026,0.0,TBD — 기초선 조사 시 수립
216,1-1,2027,32.0,
217,1-1,2029,,TBD — 기초선 조사 시 수립
218,1-1,2032,,TBD — 기초선 조사 시 수립
219,1-2,2026,,TBD — 기초선 조사 시 수립
220,1-2,2029,,TBD — 기초선 조사 시 수립
221,1-2,2032,,TBD — 기초선 조사 시 수립
222,2-1,2026,0.0,
223,2-1,2029,,TBD — 기초선 조사 시 수립
224,2-1,2032,,TBD — 기초선 조사 시 수립
225,2-2,2026,0.0,
226,2-2,2029,,TBD — 기초선 조사 시 수립
227,2-2,2032,,TBD — 기초선 조사 시 수립
228,3-1,2026,0.0,
229,3-1,2029,,TBD — 기초선 조사 시 수립
230,3-1,2032,,TBD — 기초선 조사 시 수립
231,3-2,2026,0.0,
232,3-2,2029,,TBD — 기초선 조사 시 수립
233,3-2,2032,,TBD — 기초선 조사 시 수립
234,1.1-1,2026,0.0,
235,1.1-1,2027,25.0,
236,1.1-1,2028,0.0,
237,1.1-1,2029,0.0,
238,1.1-1,2030,0.0,
239,1.1-1,2031,0.0,
240,1.1-1,2032,0.0,
241,1.2-1,2026,0.0,
242,1.2-1,2027,5.0,
243,1.2-1,2028,5.0,
244,1.2-1,2029,0.0,
245,1.2-1,2030,0.0,
246,1.2-1,2031,0.0,
247,1.2-1,2032,0.0,
248,2.1-1,2026,0.0,
249,2.1-1,2027,0.0,
250,2.1-1,2028,1.0,
251,2.1-1,2029,0.0,
252,2.1-1,2030,0.0,
253,2.1-1,2031,0.0,
254,2.1-1,2032,0.0,
255,2.1-2,2026,0.0,
256,2.1-2,2027,0.0,
257,2.1-2,2028,0.0,
258,2.1-2,2029,125.0,
259,2.1-2,2030,125.0,
260,2.1-2,2031,0.0,
261,2.1-2,2032,0.0,
262,2.1-3,2026,0.0,
263,2.1-3,2027,0.0,
264,2.1-3,2028,0.0,
265,2.1-3,2029,40.0,
266,2.1-3,2030,40.0,
267,2.1-3,2031,0.0,
268,2.1-3,2032,0.0,
269,2.2-1,2026,0.0,
270,2.2-1,2027,0.0,
271,2.2-1,2028,1.0,
272,2.2-1,2029,0.0,
273,2.2-1,2030,0.0,
274,2.2-1,2031,0.0,
275,2.2-1,2032,0.0,
276,2.2-2,2026,0.0,
277,2.2-2,2027,0.0,
278,2.2-2,2028,40.0,
279,2.2-2,2029,640.0,
280,2.2-2,2030,670.0,
281,2.2-2,2031,0.0,
282,2.2-2,2032,0.0,
283,3.1-1,2026,0.0,
284,3.1-1,2027,1.0,
285,3.1-1,2028,0.0,
286,3.1-1,2029,0.0,
287,3.1-1,2030,0.0,
288,3.1-1,2031,0.0,
289,3.1-1,2032,0.0,
290,3.2-1,2026,0.0,
291,3.2-1,2027,0.0,
292,3.2-1,2028,0.0,
293,3.2-1,2029,1.0,
294,3.2-1,2030,1.0,
295,3.2-1,2031,1.0,
296,3.2-1,2032,1.0,
297,3.2-2,2026,0.0,
298,3.2-2,2027,0.0,
299,3.2-2,2028,0.0,
300,3.2-2,2029,,TBD — 기초선 조사 시 수립
301,3.2-2,2030,,TBD — 기초선 조사 시 수립
302,3.2-2,2031,,TBD — 기초선 조사 시 수립
303,3.2-2,2032,,TBD — 기초선 조사 시 수립
304,3.2-3,2026,0.0,
305,3.2-3,2027,0.0,
306,3.2-3,2028,0.0,
307,3.2-3,2029,1.0,
308,3.2-3,2030,0.0,
309,3.2-3,2031,1.0,
310,3.2-3,2032,0.0,
