id,indicator_id,year,target,note
1,1-1,2026,,TBD — 기초선 조사 시 수립
2,1-1,2027,,TBD — 기초선 조사 시 수립
3,1-1,2028,,TBD — 기초선 조사 시 수립
4,1-1,2029,,TBD — 기초선 조사 시 수립
5,1-1,2030,,TBD — 기초선 조사 시 수립
6,1-1,2031,,TBD — 기초선 조사 시 수립
7,1-1,2032,,TBD — 기초선 조사 시 수립
8,1-2,2026,,TBD — 기초선 조사 시 수립
9,1-2,2027,,TBD — 기초선 조사 시 수립
10,1-2,2028,,TBD — 기초선 조사 시 수립
11,1-2,2029,,TBD — 기초선 조사 시 수립
12,1-2,2030,,TBD — 기초선 조사 시 수립
13,1-2,2031,,TBD — 기초선 조사 시 수립
14,1-2,2032,,TBD — 기초선 조사 시 수립
15,2-1,2026,0.0,
16,2-1,2027,,TBD — 기초선 조사 시 수립
17,2-1,2028,,TBD — 기초선 조사 시 수립
18,2-1,2029,,TBD — 기초선 조사 시 수립
19,2-1,2030,,TBD — 기초선 조사 시 수립
20,2-1,2031,,TBD — 기초선 조사 시 수립
21,2-1,2032,,TBD — 기초선 조사 시 수립
22,2-2,2026,0.0,
23,2-2,2027,,TBD — 기초선 조사 시 수립
24,2-2,2028,,TBD — 기초선 조사 시 수립
25,2-2,2029,,TBD — 기초선 조사 시 수립
26,2-2,2030,,TBD — 기초선 조사 시 수립
27,2-2,2031,,TBD — 기초선 조사 시 수립
28,2-2,2032,,TBD — 기초선 조사 시 수립
29,3-1,2026,0.0,
30,3-1,2027,,TBD — 기초선 조사 시 수립
31,3-1,2028,,TBD — 기초선 조사 시 수립
32,3-1,2029,,TBD — 기초선 조사 시 수립
33,3-1,2030,,TBD — 기초선 조사 시 수립
34,3-1,2031,,TBD — 기초선 조사 시 수립
35,3-1,2032,,TBD — 기초선 조사 시 수립
36,3-2,2026,0.0,
37,3-2,2027,,TBD — 기초선 조사 시 수립
38,3-2,2028,,TBD — 기초선 조사 시 수립
39,3-2,2029,,TBD — 기초선 조사 시 수립
40,3-2,2030,,TBD — 기초선 조사 시 수립
41,3-2,2031,,TBD — 기초선 조사 시 수립
42,3-2,2032,,TBD — 기초선 조사 시 수립
43,1.1-1,2026,0.0,
44,1.1-1,2027,25.0,
45,1.1-1,2028,0.0,
46,1.1-1,2029,0.0,
47,1.1-1,2030,0.0,
48,1.1-1,2031,0.0,
49,1.1-1,2032,0.0,
50,1.2-1,2026,0.0,
51,1.2-1,2027,5.0,
52,1.2-1,2028,5.0,
53,1.2-1,2029,0.0,
54,1.2-1,2030,0.0,
55,1.2-1,2031,0.0,
56,1.2-1,2032,0.0,
57,2.1-1,2026,0.0,
58,2.1-1,2027,0.0,
59,2.1-1,2028,1.0,
60,2.1-1,2029,0.0,
61,2.1-1,2030,0.0,
62,2.1-1,2031,0.0,
63,2.1-1,2032,0.0,
64,2.1-2,2026,0.0,
65,2.1-2,2027,0.0,
66,2.1-2,2028,0.0,
67,2.1-2,2029,125.0,
68,2.1-2,2030,125.0,
69,2.1-2,2031,0.0,
70,2.1-2,2032,0.0,
71,2.1-3,2026,0.0,
72,2.1-3,2027,0.0,
73,2.1-3,2028,0.0,
74,2.1-3,2029,40.0,
75,2.1-3,2030,40.0,
76,2.1-3,2031,0.0,
77,2.1-3,2032,0.0,
78,2.2-1,2026,0.0,
79,2.2-1,2027,0.0,
80,2.2-1,2028,1.0,
81,2.2-1,2029,0.0,
82,2.2-1,2030,0.0,
83,2.2-1,2031,0.0,
84,2.2-1,2032,0.0,
85,2.2-2,2026,0.0,
86,2.2-2,2027,0.0,
87,2.2-2,2028,40.0,
88,2.2-2,2029,640.0,
89,2.2-2,2030,670.0,
90,2.2-2,2031,0.0,
91,2.2-2,2032,0.0,
92,3.1-1,2026,0.0,
93,3.1-1,2027,1.0,
94,3.1-1,2028,0.0,
95,3.1-1,2029,0.0,
96,3.1-1,2030,0.0,
97,3.1-1,2031,0.0,
98,3.1-1,2032,0.0,
99,3.2-1,2026,0.0,
100,3.2-1,2027,0.0,
101,3.2-1,2028,0.0,
102,3.2-1,2029,100.0,
103,3.2-1,2030,100.0,
104,3.2-1,2031,100.0,
105,3.2-1,2032,100.0,
106,3.2-2,2026,0.0,
107,3.2-2,2027,0.0,
108,3.2-2,2028,0.0,
109,3.2-2,2029,,TBD — 기초선 조사 시 수립
110,3.2-2,2030,,TBD — 기초선 조사 시 수립
111,3.2-2,2031,,TBD — 기초선 조사 시 수립
112,3.2-2,2032,,TBD — 기초선 조사 시 수립
113,3.2-3,2026,0.0,
114,3.2-3,2027,0.0,
115,3.2-3,2028,0.0,
116,3.2-3,2029,1.0,
117,3.2-3,2030,0.0,
118,3.2-3,2031,1.0,
119,3.2-3,2032,0.0,
